timestamps,TP9,AF7,AF8,TP10,Right AUX
1568081286.005,52.246,32.715,36.133,24.902,-32.715
1568081286.009,56.152,33.203,33.691,23.438,-71.289
1568081286.013,31.738,31.738,30.762,59.082,-42.969
1568081286.017,27.344,33.691,36.133,69.824,6.348
1568081286.021,47.852,36.621,40.039,21.484,-35.645
1568081286.024,54.199,35.645,41.016,0.977,-34.180
1568081286.028,26.367,29.297,37.109,41.504,30.273
1568081286.032,8.789,26.855,33.203,62.500,22.461
1568081286.036,31.250,27.832,28.320,22.461,39.062
1568081286.040,46.875,26.855,25.879,-11.230,11.230
1568081286.044,28.320,31.250,32.227,20.508,-9.277
1568081286.048,11.230,37.109,36.621,59.570,18.555
1568081286.052,20.996,36.621,31.250,32.227,67.383
1568081286.056,32.227,31.250,27.344,-16.602,20.020
1568081286.060,18.555,26.367,26.855,-5.859,44.434
1568081286.064,-0.488,23.926,26.855,39.551,66.895
1568081286.067,7.812,23.438,29.297,40.039,42.480
1568081286.071,35.645,24.902,28.320,-3.906,79.102
1568081286.075,41.992,27.344,30.273,-3.906,54.199
1568081286.079,18.066,26.367,34.668,47.852,23.926
1568081286.083,5.859,26.855,31.738,60.547,4.395
1568081286.087,26.855,28.320,28.320,12.207,30.762
1568081286.091,41.504,27.344,26.367,-0.977,84.961
1568081286.095,21.484,26.367,30.762,38.574,79.102
1568081286.099,8.301,31.738,36.133,63.965,57.617
1568081286.103,32.715,40.039,33.203,36.133,26.367
1568081286.107,56.641,35.156,27.832,1.953,-6.348
1568081286.110,36.621,26.855,26.367,25.391,-0.977
1568081286.114,12.695,25.391,22.949,62.012,5.859
1568081286.118,22.461,24.902,20.020,41.992,34.668
1568081286.122,44.434,21.973,27.832,-1.465,26.855
1568081286.126,46.387,23.438,28.809,6.348,26.855
1568081286.130,24.902,26.367,31.738,48.340,17.578
1568081286.134,25.391,28.320,36.621,52.246,-54.688
1568081286.138,48.828,31.738,34.180,8.789,-10.742
1568081286.142,46.875,28.809,36.133,-4.395,22.949
1568081286.146,15.137,25.879,32.715,33.691,4.395
1568081286.149,4.883,24.902,27.832,53.223,60.059
1568081286.153,27.344,25.391,26.367,10.742,80.566
1568081286.157,37.598,28.809,23.438,-17.090,37.598
1568081286.161,25.391,31.738,27.344,23.438,14.160
1568081286.165,17.090,32.715,35.156,61.035,-15.137
1568081286.169,31.250,32.227,31.250,31.250,-21.973
1568081286.173,51.270,31.738,25.391,-5.859,-2.441
1568081286.177,43.457,36.133,26.367,18.066,-28.809
1568081286.181,22.949,39.062,29.297,59.570,20.996
